City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
735640,Komotini,64,GR,1612062441,83,41.1228,25.3964,45.34,2.82
5955902,Fort Nelson,40,CA,1612062441,77,58.8053,-122.7002,-11.2,3.44
3837056,San Luis,15,AR,1612062442,75,-33.295,-66.3356,61.65,21
2409914,Bonthe,32,SL,1612061857,87,7.5264,-12.505,76.93,2.26
3899695,Ancud,0,CL,1612061891,76,-41.8697,-73.8203,53.01,3.44
95788,Hīt,96,IQ,1612061864,59,33.6416,42.8251,49.3,8.9
164947,Salamiyah,100,SY,1612062442,90,35.0113,37.0532,46.18,7.38
2132606,Samarai,100,PG,1612061621,72,-10.6167,150.6667,85.87,15.99
5364271,Laguna,90,US,1612061869,58,38.421,-121.4238,55.4,6.24
5882953,Aklavik,100,CA,1612061875,75,68.2191,-135.0107,-27.4,1.14
187896,Mandera,0,KE,1612062442,80,3.9366,41.867,67.86,4.16
2391893,Savé,35,BJ,1612062442,86,8.0425,2.486,76.03,1.74
2065594,Mount Isa,40,AU,1612061861,22,-20.7333,139.5,102.2,11.5
2121385,Severo-Kuril'sk,100,RU,1612061883,95,50.6789,156.125,25.18,34.52
3374083,Bathsheba,40,BB,1612062443,73,13.2167,-59.5167,78.8,21.85
1812256,Dongsheng,0,CN,1612062443,72,39.8161,109.9776,27.18,26.53
3981391,Tomatlán,0,MX,1612062443,65,19.9333,-105.25,70.57,2.35
933692,Kang,64,BW,1612062443,81,-23.6752,22.7876,69.6,4.09
3447785,Seropédica,0,BR,1612062443,83,-22.7439,-43.7075,84.2,4.41
1855540,Naze,75,JP,1612061899,51,28.3667,129.4833,62.6,6.91
3628503,San Carlos,50,VE,1612062443,71,9.6612,-68.5827,74.34,3.71
1214488,Meulaboh,71,ID,1612061856,67,4.1363,96.1285,82.36,1.52
2035601,Mergen,100,CN,1612062444,88,49.1833,125.2167,-10.61,6.69
2610343,Vestmanna,75,FO,1612062444,69,62.1564,-7.1664,32,18.41
6050066,La Ronge,2,CA,1612062184,79,55.1001,-105.2842,12.2,1.83
3448903,São João da Barra,2,BR,1612061740,81,-21.6403,-41.0511,77.13,20.76
3981432,Todos Santos,17,MX,1612062444,83,23.45,-110.2167,68,1.99
900056,Nyimba,100,ZM,1612062444,95,-14.5566,30.8149,67.98,2.73
2024626,Dzhebariki-Khaya,99,RU,1612061888,77,62.2167,135.8,-43.06,0.49
2122104,Petropavlovsk-Kamchatskiy,100,RU,1612062444,47,53.0452,158.6483,30.2,20.13
2034761,Shulan,100,CN,1612062445,91,44.4167,126.95,7.29,4.88
3984997,San Quintín,0,MX,1612061870,77,30.4833,-115.95,56.98,5.75
5276609,Two Rivers,90,US,1612062445,80,44.1539,-87.5693,30.99,21.85
5975034,High Prairie,51,CA,1612062445,73,55.4334,-116.4858,15.8,3.44
1178560,Ghauspur,40,PK,1612062445,76,28.1391,69.0831,50,4.61
1337617,Muli,16,MV,1612062445,77,2.9167,73.5667,81.63,13.65
2017155,Saskylakh,100,RU,1612061858,83,71.9167,114.0833,-33.23,10.67
2015179,Tommot,73,RU,1612061888,78,58.9564,126.2925,-32.8,0.22
3416888,Grindavik,75,IS,1612061593,73,63.8424,-22.4338,19.4,5.75
1728675,Balabac,61,PH,1612061911,74,7.9868,117.0645,82.13,22.73
5859699,College,90,US,1612061904,77,64.8569,-147.8028,-4,0.6
2033536,Yakeshi,100,CN,1612061896,88,49.2833,120.7333,-10.03,4.76
2181625,Te Anau,85,NZ,1612062405,47,-45.4167,167.7167,65.88,7.52
3887127,Iquique,0,CL,1612062446,68,-20.2208,-70.1431,69.8,8.05
2180815,Tuatapere,100,NZ,1612061884,48,-46.1333,167.6833,66.43,2.39
2994497,Menton,75,FR,1612062446,82,43.7765,7.5044,51.8,11.5
